,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
326,amuntai,15,ID,1579796434,81,77.81,-2.42,115.25,3.04
327,alice springs,50,AU,1579796434,23,86.0,-23.7,133.88,9.17
328,shahr-e babak,100,IR,1579796434,78,40.41,30.12,55.12,16.82
329,sabha,90,LY,1579796434,18,66.58,27.04,14.43,8.79
330,gorontalo,87,ID,1579796434,91,74.37,0.54,123.06,3.62
331,linxia,100,CN,1579796434,95,19.69,35.6,103.21,4.29
332,yulin,27,CN,1579796435,89,65.12,22.63,110.15,5.41
333,broome,1,US,1579796435,46,33.01,42.25,-75.83,5.82
334,vitoria,40,BR,1579796435,74,82.4,-20.32,-40.34,12.75
335,novyy urengoy,100,RU,1579796435,94,6.69,66.08,76.63,15.01
336,manzanillo,10,CU,1579796435,55,68.36,20.34,-77.12,4.14
337,te anau,4,NZ,1579796435,76,52.88,-45.42,167.72,3.71
338,winslow,1,US,1579796435,80,37.99,35.02,-110.7,3.87
339,obo,100,CF,1579796436,14,89.46,5.4,26.49,6.42
340,luba,20,GQ,1579796436,74,87.8,3.46,8.55,9.17
341,high rock,40,BS,1579796436,73,71.6,26.62,-78.28,13.87
342,general pico,0,AR,1579796436,23,94.82,-35.66,-63.76,16.44
343,omis,0,HR,1579796436,46,53.6,43.44,16.69,3.36
344,cienfuegos,20,CU,1579796436,56,73.4,22.15,-80.44,4.7
345,santiago del estero,0,AR,1579796436,38,87.48,-27.8,-64.26,5.61
346,banamba,98,ML,1579796224,10,98.51,13.55,-7.45,11.99
347,eydhafushi,64,MV,1579796437,81,83.25,5.1,73.07,22.37
348,kavieng,75,PG,1579796437,75,82.83,-2.57,150.8,10.04
349,kungurtug,56,RU,1579796437,82,-4.23,50.6,97.52,4.63
350,yantal,13,RU,1579796437,90,-12.98,56.85,105.25,4.18
351,dalvik,90,IS,1579796438,54,30.2,65.97,-18.53,57.49
352,mingguang,100,CN,1579796438,75,44.74,32.78,117.96,8.79
353,iguape,100,BR,1579796391,97,70.72,-24.71,-47.56,2.42
354,hamilton,90,US,1579796438,64,41.0,39.18,-84.53,5.77
355,nago,75,JP,1579796426,88,69.8,26.59,127.98,3.36
356,meulaboh,83,ID,1579796438,66,85.26,4.14,96.13,3.06
357,ertil,83,RU,1579796438,90,21.88,51.84,40.81,13.51
358,jiancheng,40,CN,1579796439,93,51.01,30.39,104.55,1.52
359,camacupa,100,AO,1579796439,73,76.95,-12.02,17.48,4.27
360,tegal,100,ID,1579796439,90,77.5,-6.87,109.14,6.89
361,roma,1,US,1579796164,63,32.0,43.21,-75.46,5.82
362,road town,40,VG,1579796439,74,82.4,18.42,-64.62,9.17
363,longyearbyen,20,SJ,1579796395,60,6.8,78.22,15.64,39.15
364,saint-joseph,90,RE,1579796439,83,82.4,-21.37,55.62,9.17
365,el balsamo,20,HN,1579796440,69,75.2,15.07,-87.47,6.93
366,puerto madero,5,MX,1579796440,70,84.2,14.72,-92.42,3.36
367,takayama,100,JP,1579796440,89,48.0,36.13,137.25,4.14
368,ostrovnoy,96,RU,1579796440,93,19.9,68.05,39.51,10.8
369,liverpool,90,GB,1579796440,100,48.2,53.41,-2.98,2.24
370,marevo,62,RU,1579796440,62,28.18,57.31,32.08,7.49
371,novyy urgal,100,RU,1579796440,99,-9.45,51.07,132.56,0.43
372,rock sound,0,BS,1579796441,71,72.77,24.9,-76.2,24.34
373,kununurra,40,AU,1579796441,94,78.8,-15.77,128.73,5.82
374,baiyin,90,CN,1579796441,58,24.8,36.56,104.21,8.95
375,alexandria,40,EG,1579796166,67,60.8,31.22,29.96,17.22
376,paso de los toros,20,UY,1579796441,51,82.4,-32.82,-56.52,11.41
377,heiligenhafen,75,DE,1579796441,70,43.0,54.37,10.98,11.41
378,krasnoselkup,98,RU,1579796427,93,5.31,65.7,82.47,14.03
379,naryan-mar,100,RU,1579796442,93,8.44,67.67,53.09,16.55
380,cangucu,75,BR,1579796442,54,84.2,-31.39,-52.68,13.87
